port_name,measure,mes_label,tot_value,mes,value,delta
Santa Teresa,Truck Containers Empty,Feb 2026,6111,2026-02,6106,5
Neche,Truck Containers Empty,Feb 2026,85,2026-02,80,5
Piegan,Trucks,Jan 2026,129,2026-01,124,5
Hansboro,Truck Containers Empty,Jan 2026,5,2026-01,0,5
Skagway,Truck Containers Empty,Feb 2026,117,2026-02,112,5
Columbus,Truck Containers Empty,Feb 2026,145,2026-02,140,5
Portal,Truck Containers Empty,Jan 2026,1403,2026-01,1398,5
Turner,Truck Containers Empty,Feb 2026,5,2026-02,0,5
Porthill,Truck Containers Empty,Feb 2026,33,2026-02,28,5
Fort Fairfield,Truck Containers Empty,Feb 2026,57,2026-02,52,5
Hansboro,Truck Containers Empty,Feb 2026,5,2026-02,0,5
Maida,Trucks,Jan 2026,4,2026-01,0,4
Lancaster,Truck Containers Empty,Jan 2026,128,2026-01,124,4
Champlain Rouses Point,Truck Containers Empty,Feb 2026,2303,2026-02,2299,4
Carbury,Truck Containers Empty,Feb 2026,4,2026-02,0,4
Scobey,Trucks,Jan 2026,4,2026-01,0,4
Scobey,Truck Containers Empty,Jan 2026,4,2026-01,0,4
Boundary,Truck Containers Empty,Jan 2026,4,2026-01,0,4
Frontier,Trucks,Jan 2026,2409,2026-01,2405,4
Portal,Truck Containers Empty,Feb 2026,1212,2026-02,1208,4
Danville,Truck Containers Empty,Jan 2026,4,2026-01,0,4
Massena,Trucks,Feb 2026,1180,2026-02,1176,4
Maida,Truck Containers Empty,Jan 2026,4,2026-01,0,4
Hannah,Trucks,Jan 2026,3,2026-01,0,3
Laurier,Truck Containers Empty,Jan 2026,34,2026-01,31,3
Progreso,Trucks,Jan 2026,7107,2026-01,7104,3
Danville,Trucks,Feb 2026,3,2026-02,0,3
Danville,Truck Containers Empty,Feb 2026,3,2026-02,0,3
Dalton Cache,Truck Containers Empty,Jan 2026,65,2026-01,62,3
Noonan,Trucks,Feb 2026,87,2026-02,84,3
Pinecreek,Truck Containers Empty,Feb 2026,3,2026-02,0,3
Noonan,Truck Containers Empty,Feb 2026,87,2026-02,84,3
Lukeville,Trucks,Feb 2026,59,2026-02,56,3
Laurier,Truck Containers Empty,Feb 2026,59,2026-02,56,3
Port Angeles,Truck Containers Empty,Feb 2026,2,2026-02,0,2
El Paso,Truck Containers Empty,Feb 2026,7325,2026-02,7327,-2
Morgan,Truck Containers Empty,Jan 2026,2,2026-01,0,2
Maida,Truck Containers Empty,Feb 2026,2,2026-02,0,2
Ferry,Trucks,Feb 2026,1,2026-02,0,1
Ferry,Truck Containers Empty,Feb 2026,1,2026-02,0,1
